User input,04/01/2016 8:30,04/01/2016 8:35,04/01/2016 8:40,04/01/2016 8:45,04/01/2016 8:50,04/01/2016 8:55,04/01/2016 9:00,04/01/2016 9:05,04/01/2016 9:10,04/01/2016 9:15,04/01/2016 9:20,04/01/2016 9:25,04/01/2016 9:30,04/01/2016 9:35,04/01/2016 9:40,04/01/2016 9:45,04/01/2016 9:50,04/01/2016 9:55,04/01/2016 10:00,04/01/2016 10:05,04/01/2016 10:10,04/01/2016 10:15,04/01/2016 10:20,04/01/2016 10:25,04/01/2016 10:30,04/01/2016 10:35,04/01/2016 10:40,04/01/2016 10:45,04/01/2016 10:50,04/01/2016 10:55,04/01/2016 11:00,04/01/2016 11:05,04/01/2016 11:10,04/01/2016 11:15,04/01/2016 11:20,04/01/2016 11:25,04/01/2016 11:30,04/01/2016 11:35,04/01/2016 11:40,04/01/2016 11:45,04/01/2016 11:50,04/01/2016 11:55,04/01/2016 12:00,04/01/2016 12:05,04/01/2016 12:10,04/01/2016 12:15,04/01/2016 12:20,04/01/2016 12:25,04/01/2016 12:30,04/01/2016 12:35,04/01/2016 12:40,04/01/2016 12:45,04/01/2016 12:50,04/01/2016 12:55,04/01/2016 13:00,04/01/2016 13:05,04/01/2016 13:10,04/01/2016 13:15,04/01/2016 13:20,04/01/2016 13:25,04/01/2016 13:30,04/01/2016 13:35,04/01/2016 13:40,04/01/2016 13:45,04/01/2016 13:50,04/01/2016 13:55,04/01/2016 14:00,04/01/2016 14:05,04/01/2016 14:10,04/01/2016 14:15,04/01/2016 14:20,04/01/2016 14:25,04/01/2016 14:30,04/01/2016 14:35,04/01/2016 14:40,04/01/2016 14:45,04/01/2016 14:50,04/01/2016 14:55,04/01/2016 15:00,04/01/2016 15:05,04/01/2016 15:10,04/01/2016 15:15,04/01/2016 15:20,04/01/2016 15:25,04/01/2016 15:30,04/01/2016 15:35,04/01/2016 15:40,04/01/2016 15:45,04/01/2016 15:50,04/01/2016 15:55,04/01/2016 16:00,04/01/2016 16:05,04/01/2016 16:10,04/01/2016 16:15,04/01/2016 16:20,04/01/2016 16:25,04/01/2016 16:30,04/01/2016 16:35,04/01/2016 16:40,04/01/2016 16:45,04/01/2016 16:50,04/01/2016 16:55,04/01/2016 17:00,04/01/2016 17:05,04/01/2016 17:10,04/01/2016 17:15,04/01/2016 17:20,04/01/2016 17:25,04/01/2016 17:30,04/01/2016 17:35,04/01/2016 17:40,04/01/2016 17:45,04/01/2016 17:50,04/01/2016 17:55
fixed_tilt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hour,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17
minute,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55
azim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aod,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
alpha,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
albedo,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156
o3,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006,0.434600006
precip_h2o,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982,2.982
slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
press,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037,989.60037
nday,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
omeg,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945
omegp,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095
lat,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867,15.60867
long,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393,120.604393
asym,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
